HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.tweet,Answer.sentiment,Answer.subphrases,Answer.tweet_id,Answer.tweet_text,Approve,Reject
217EIB9BAWLW7ZCG3UOUN3MTYP4Z2C,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:05 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:05 GMT 2014,,,2Z46SK9RJ85SKKM4FL1AZMOO5H15TR,A1C2LRGS40747I,Approved,Wed Jan 15 17:19:56 GMT 2014,Wed Jan 15 17:20:12 GMT 2014,Thu Jan 16 09:20:12 PST 2014,Wed Jan 15 09:23:41 PST 2014,,,16,100% (60/60),100% (60/60),100% (60/60),5710514,"Well twitter died, so goodnight",neutral,aaaee,5710514,"Well twitter died, so goodnight",,
217EIB9BAWLW7ZCG3UOUN3MTYP4Z2C,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:05 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:05 GMT 2014,,,23H9RA7S5WM5RBLIMEY0TMHLPUAZUD,A111JI6APXR6QV,Approved,Wed Jan 15 16:30:05 GMT 2014,Wed Jan 15 16:30:09 GMT 2014,Thu Jan 16 08:30:09 PST 2014,Wed Jan 15 09:00:05 PST 2014,,,4,100% (198/198),100% (198/198),100% (148/148),5710514,"Well twitter died, so goodnight",negative,,5710514,"Well twitter died, so goodnight",,
25C3K4F0OHOZC3R8VJF2V92HLAS12Q,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:00 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:00 GMT 2014,,,2KYX3YOCCF0GA77NNS9NSIXYVG2RSS,A19J8QB6W7Z8BF,Approved,Wed Jan 15 15:04:56 GMT 2014,Wed Jan 15 15:05:08 GMT 2014,Thu Jan 16 07:05:08 PST 2014,Wed Jan 15 07:08:00 PST 2014,,,12,100% (100/100),100% (100/100),100% (100/100),4834537,Watching the YouTube music awards.,neutral,eeeee,4834537,Watching the YouTube music awards.,,
25C3K4F0OHOZC3R8VJF2V92HLAS12Q,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:00 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:00 GMT 2014,,,25IVJ8EBDPGJ68I2NVQ91NDWX0BF01,AS809NPDW8VZ0,Approved,Wed Jan 15 16:14:58 GMT 2014,Wed Jan 15 16:15:20 GMT 2014,Thu Jan 16 08:15:20 PST 2014,Wed Jan 15 08:16:00 PST 2014,,,22,100% (79/79),100% (79/79),100% (79/79),4834537,Watching the YouTube music awards.,neutral,aaaaa,4834537,Watching the YouTube music awards.,,
25C3K4F0OHOZC3R8VJF2V92HLAS12Q,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:00 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:00 GMT 2014,,,2BUA1QP6AUC6RF3W5CSXDV0FZCX07N,A1627B33VS26L,Approved,Wed Jan 15 16:58:18 GMT 2014,Wed Jan 15 16:58:22 GMT 2014,Thu Jan 16 08:58:22 PST 2014,Wed Jan 15 09:00:30 PST 2014,,,4,100% (11/11),100% (11/11),100% (11/11),4834537,Watching the YouTube music awards.,neutral,aaaaa,4834537,Watching the YouTube music awards.,,
25C3K4F0OHOZC3R8VJF2V92HLAS12Q,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:00 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:00 GMT 2014,,,2Z0PJWKUDD817DQG18Q0L6UT3IBLA5,A111JI6APXR6QV,Approved,Wed Jan 15 16:30:30 GMT 2014,Wed Jan 15 16:30:34 GMT 2014,Thu Jan 16 08:30:34 PST 2014,Wed Jan 15 09:00:06 PST 2014,,,4,100% (198/198),100% (198/198),100% (148/148),4834537,Watching the YouTube music awards.,positive,,4834537,Watching the YouTube music awards.,,
2EWRSQV66RLT2KGTFUNA5KI69LF4CF,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,2Q7L6VCPWZ9V8FJ8MUSSHSN3S5U9OR,A19J8QB6W7Z8BF,Approved,Wed Jan 15 14:58:27 GMT 2014,Wed Jan 15 14:58:46 GMT 2014,Thu Jan 16 06:58:46 PST 2014,Wed Jan 15 07:05:37 PST 2014,,,19,100% (100/100),100% (100/100),100% (100/100),3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,negative,nnnnnnnnnnnnnnnnn,3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,,
2EWRSQV66RLT2KGTFUNA5KI69LF4CF,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,20QN5F3Q0JG9E09DAVPBE9F974ICG0,A13I8GYETPZSZW,Approved,Wed Jan 15 18:08:22 GMT 2014,Wed Jan 15 18:08:45 GMT 2014,Thu Jan 16 10:08:45 PST 2014,Thu Jan 16 01:06:30 PST 2014,,,23,100% (20/20),100% (20/20),100% (20/20),3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,negative,ee################,3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,,
2EWRSQV66RLT2KGTFUNA5KI69LF4CF,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,2TEJUNU8LZ6VS23VP8ZDIJ3VTJCJ33,AS809NPDW8VZ0,Approved,Wed Jan 15 16:01:41 GMT 2014,Wed Jan 15 16:02:45 GMT 2014,Thu Jan 16 08:02:45 PST 2014,Wed Jan 15 08:07:18 PST 2014,,,64,100% (79/79),100% (79/79),100% (79/79),3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,negative,aaaaannnaaannnnnn,3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,,
2EWRSQV66RLT2KGTFUNA5KI69LF4CF,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,2UHEIB9BAWLW7ZCG3UOUN3MT63Z2Z6,A1C2LRGS40747I,Approved,Wed Jan 15 17:51:28 GMT 2014,Wed Jan 15 18:00:23 GMT 2014,Thu Jan 16 10:00:23 PST 2014,Thu Jan 16 01:06:28 PST 2014,,,535,100% (60/60),100% (60/60),100% (60/60),3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,negative,aaaaaaaaannnnnnnn,3206237,Using bbm on an iPhone is like watching a Blu-ray Disc on a black and white tv,,
25KGMMEGOOGUDE9WG9122EIU1SVBBK,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,258ULF395SWA8IO5Q2EYXJBYUDSRDY,A19J8QB6W7Z8BF,Approved,Wed Jan 15 15:01:00 GMT 2014,Wed Jan 15 15:01:26 GMT 2014,Thu Jan 16 07:01:26 PST 2014,Wed Jan 15 07:05:38 PST 2014,,,26,100% (100/100),100% (100/100),100% (100/100),4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",negative,nnnnnnnnnnnnnnnnnnnnn,4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",,
25KGMMEGOOGUDE9WG9122EIU1SVBBK,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,22A2KYEPLSPBQM8C4VA3YAHQT29PV4,A2HR7ZIX42FEPG,Approved,Wed Jan 15 15:44:01 GMT 2014,Wed Jan 15 15:45:41 GMT 2014,Thu Jan 16 07:45:41 PST 2014,Wed Jan 15 07:49:52 PST 2014,,,100,100% (59/59),100% (59/59),100% (59/59),4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",negative,aaannnnnnnnnnnnnnnnnn,4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",,
25KGMMEGOOGUDE9WG9122EIU1SVBBK,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,28U4E6AUBXH0DJU5J80VLZWD6XEX1E,A1C2LRGS40747I,Approved,Wed Jan 15 16:25:14 GMT 2014,Wed Jan 15 16:28:14 GMT 2014,Thu Jan 16 08:28:14 PST 2014,Wed Jan 15 08:50:24 PST 2014,,,180,100% (60/60),100% (60/60),100% (60/60),4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",negative,aaaaaaaaaaaaaannnnnnn,4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",,
25KGMMEGOOGUDE9WG9122EIU1SVBBK,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,220SV7WGKCCZ6NQ282UMRAPQJO72S9,A1627B33VS26L,Approved,Wed Jan 15 21:09:49 GMT 2014,Wed Jan 15 21:10:08 GMT 2014,Thu Jan 16 13:10:08 PST 2014,Thu Jan 16 01:06:25 PST 2014,,,19,100% (11/11),100% (11/11),100% (11/11),4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",neutral,aaaaaaaaaaaaaaaaaaann,4177363,"Twitter, fix the disabling of image previews on the web client of Twitter now. My feed is complete a mess :/",,
2G2PFE4EGDHH74SB6H0N9W6HLX29JU,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,2QGOGQSCM6IEV4F4GTLUA0OQZWOHH1,A19J8QB6W7Z8BF,Approved,Wed Jan 15 15:32:01 GMT 2014,Wed Jan 15 15:32:39 GMT 2014,Thu Jan 16 07:32:39 PST 2014,Wed Jan 15 07:36:55 PST 2014,,,38,100% (100/100),100% (100/100),100% (100/100),1914158,Twitter valued at 18bn dollars :O,positive,pppppp,1914158,Twitter valued at 18bn dollars :O,,
2G2PFE4EGDHH74SB6H0N9W6HLX29JU,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,2OAUUU00OQKOV658Q7J24268FQCVVX,AS809NPDW8VZ0,Approved,Wed Jan 15 16:25:54 GMT 2014,Wed Jan 15 16:26:42 GMT 2014,Thu Jan 16 08:26:42 PST 2014,Wed Jan 15 08:50:25 PST 2014,,,48,100% (79/79),100% (79/79),100% (79/79),1914158,Twitter valued at 18bn dollars :O,positive,ppppp,1914158,Twitter valued at 18bn dollars :O,,
2G2PFE4EGDHH74SB6H0N9W6HLX29JU,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,2RE8JIA0RYNNU4A9ILR5LMJT9TJ16S,A1C2LRGS40747I,Approved,Wed Jan 15 17:05:26 GMT 2014,Wed Jan 15 17:05:59 GMT 2014,Thu Jan 16 09:05:59 PST 2014,Wed Jan 15 09:15:45 PST 2014,,,33,100% (60/60),100% (60/60),100% (60/60),1914158,Twitter valued at 18bn dollars :O,positive,appppp,1914158,Twitter valued at 18bn dollars :O,,
2G2PFE4EGDHH74SB6H0N9W6HLX29JU,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:01 GMT 2014,5,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:01 GMT 2014,,,2M70CP5KXPTM8K5NWFVPW7NYLIUZYK,A2HR7ZIX42FEPG,Approved,Wed Jan 15 18:05:34 GMT 2014,Wed Jan 15 18:05:52 GMT 2014,Thu Jan 16 10:05:52 PST 2014,Thu Jan 16 01:06:26 PST 2014,,,18,100% (59/59),100% (59/59),100% (59/59),1914158,Twitter valued at 18bn dollars :O,neutral,aaaaae,1914158,Twitter valued at 18bn dollars :O,,
2TUF0CP5KXPX3P58VX74ZM7N541YXV,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:00 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:00 GMT 2014,,,2M70CP5KXPTM8K5NWFVPW7NYLIIYZ7,A19J8QB6W7Z8BF,Approved,Wed Jan 15 15:17:14 GMT 2014,Wed Jan 15 15:17:30 GMT 2014,Thu Jan 16 07:17:30 PST 2014,Wed Jan 15 07:34:42 PST 2014,,,16,100% (100/100),100% (100/100),100% (100/100),2987875,Twitter reveals even the slightest thing you never think of.,positive,pppppppppp,2987875,Twitter reveals even the slightest thing you never think of.,,
2TUF0CP5KXPX3P58VX74ZM7N541YXV,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:00 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:00 GMT 2014,,,2QHGSNTL0XUPCIAJ9IUMWDX5U1O0MU,AS809NPDW8VZ0,Approved,Wed Jan 15 16:19:25 GMT 2014,Wed Jan 15 16:19:46 GMT 2014,Thu Jan 16 08:19:46 PST 2014,Wed Jan 15 08:23:13 PST 2014,,,21,100% (79/79),100% (79/79),100% (79/79),2987875,Twitter reveals even the slightest thing you never think of.,positive,pppppppppp,2987875,Twitter reveals even the slightest thing you never think of.,,
2TUF0CP5KXPX3P58VX74ZM7N541YXV,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:00 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:00 GMT 2014,,,2UHFE4EGDHDQN78YG8EZ66HEEI3KAY,A2HR7ZIX42FEPG,Approved,Wed Jan 15 15:54:16 GMT 2014,Wed Jan 15 15:54:31 GMT 2014,Thu Jan 16 07:54:31 PST 2014,Wed Jan 15 07:55:56 PST 2014,,,15,100% (59/59),100% (59/59),100% (59/59),2987875,Twitter reveals even the slightest thing you never think of.,neutral,aeeeeeeeee,2987875,Twitter reveals even the slightest thing you never think of.,,
